رقم السورة;باللغة العربية;الإسم إنكليزيا;الإسم عربي;الترجمة الإنجليزية;5;6;7;8
1;الفاتحة;al-Fatihah;al-faatiHah;The Opening;001_Surat_Afate7h.mp3;001.mp3;001_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/001.mp3
2;البقرة;al-Baqarah;al-baqarah;The Cow;002_Surat_Albaqarah.mp3;002.mp3;002_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://archive.org/download/002_20200822/002.mp3
3;آل عمران;Al-Imran;aali-`imraan;The Family Of Imran;003_Surat_Al_3mran.mp3;003.mp3;003_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/003.mp3
4;النساء;an-Nisa';an-nisaa';Women;004_Surat_Alnesaa.mp3;004.mp3;004_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/004.mp3
5;المائدة;al-Ma'idah;al-maa'idah;The Food;005_Surat_Almaedah.mp3;005.mp3;005_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/005.mp3
6;الأنعام;al-An`am;al-an`aam;The Cattle;006_Surat_Alan3am.mp3;006.mp3;006_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/006.mp3
7;الأعراف;al-A`raf;al-a`raaf;The Elevated Places;007_Surat_Ala3raf.mp3;007.mp3;007_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/007.mp3
8;الأنفال;al-Anfal;al-anfaal;The Spoils Of War;008_Surat_Alanfal.mp3;008.mp3;008_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/008.mp3
9;التوبة;at-Taubah;at-tawbah;Repentance;009_Surat_Altawbah.mp3;009.mp3;009_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/009.mp3
10;يونس;Yunus;yoonus;Jonah;010_Surat_Younus.mp3;010.mp3;010_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/010.mp3
11;هود;Hud;hood;Hud;011_Surat_Hood.mp3;011.mp3;011_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/011.mp3
12;يوسف;Yusuf;yoosuf;Joseph;012_Surat_Yousuf.mp3;012.mp3;012_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://archive.org/download/002_20200822/018.mp3
13;الرعد;ar-Ra`d;ar-Ra`d;The Thunder;013_Surat_Alr3d.mp3;013.mp3;013_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/013.mp3
14;إبراهيم;Ibrahim;ibraheem;Abraham;014_Surat_Ebraheem.mp3;014.mp3;014_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/014.mp3
15;الحجر;al-Hijr;al-Hijr;The Rock;015_surat_al7ejr.mp3;015.mp3;015_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/015.mp3
16;النحل;an-Nahl;an-naHl;The Bee;016_Surat_Alnahl.mp3;016.mp3;016_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/016.mp3
17;الإسراء;Al-Isra;al-Isra';The Night Journey;017_Surat_Alesaraa.mp3;017.mp3;017_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/017.mp3
18;الكهف;al-Kahf;al-kahf;The Cave;018_Surat_Alalkahf.mp3;018.mp3;018_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/018.mp3
19;مريم;Maryam;maryam;Mary;019_Surat_Marym.mp3;019.mp3;019_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/019.mp3
20;طه;Ta Ha;Taa haa;Ta Ha;020_Surat_Taha.mp3;020.mp3;020_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/020.mp3
21;الأنبياء;al-Anbiya';al-anbiyaa';The Prophets;021_Surat_Alanbyaa.mp3;021.mp3;021_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/021.mp3
22;الحج;al-Hajj;al-Hajj;The Pilgrimage;022_Surat_Alhaj.mp3;022.mp3;022_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/022.mp3
23;المؤمنون;al-Mu'minun;al-mu'minoon;The Believers;023_Surat_Almomnon.mp3;023.mp3;023_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/023.mp3
24;النّور;an-Nur;an-noor;The Light;024_Surat_Alnoor.mp3;024.mp3;024_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/024.mp3
25;الفرقان;al-Furqan;al-furqaan;The Criterion;025_Surat_Alforqan.mp3;025.mp3;025_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/025.mp3
26;الشعراء;ash-Shu`ara';ash-shu`araa';The Poets;026_Surat_Alsho3araa.mp3;026.mp3;026_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/026.mp3
27;النّمل;an-Naml;an-naml;The Ant;027_Surat_Alnaml.mp3;027.mp3;027_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/027.mp3
28;القصص;al-Qasas;al-qasas;The Narrative;028_Surat_Alqasas.mp3;028.mp3;028_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/028.mp3
29;العنكبوت;al-`Ankabut;al-`ankaboot;The Spider;029_Surat_Al3nkaboot.mp3;029.mp3;029_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/029.mp3
30;الرّوم;ar-Rum;ar-room;The Romans;030_Surat_Alroom.mp3;030.mp3;030_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/030.mp3
31;لقمان;Luqman;luqmaan;Lukman;031_Surat_luqman.mp3;031.mp3;031_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/031.mp3
32;السجدة;as-Sajdah;as-sajdah;The Adoration;032_Surat_Alsajdh.mp3;032.mp3;032_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/032.mp3
33;الأحزاب;al-Ahzab;al-aHzab;The Allies;033_Surat_Alahzab.mp3;033.mp3;033_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/033.mp3
34;سبأ;Saba';as-Saba';Sheba;034_Surat_Sabaa.mp3;034.mp3;034_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/034.mp3
35;فاطر;Fatir;faaTir;The Creator;035_Surat_Fater.mp3;035.mp3;035_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/035.mp3
36;يس;Ya Sin;yaa seen;Ya Sin;036_Surat_Yaseen.mp3;036.mp3;036_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/036.mp3
37;الصافات;as-Saffat;aS-Saaffaat;The Rangers;037_Surat_Alsaffat.mp3;037.mp3;037_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/037.mp3
38;ص;Sad;Saad;Sad;038_Surat_Saad.mp3;038.mp3;038_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/038.mp3
39;الزمر;az-Zumar;az-zumar;The Companies;039_Surat_Alzomar.mp3;039.mp3;039_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/039.mp3
40;غافر;Ghafir;Ghafir;The Forgiving One;040_Surat_Ghfer.mp3;040.mp3;040_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/040.mp3
41;فصّلت;Fussilat;Fussilat;Revelations Well Expounded;041_Surat_Fosselat.mp3;041.mp3;041_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/041.mp3
42;الشورى;ash-Shura;ash-shooraa;The Counsel;042_Surat_Alshoura.mp3;042.mp3;042_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/042.mp3
43;الزخرف;az-Zukhruf;azl-zukhruf;The Embellishment;043_Surat_Alzokhrof.mp3;043.mp3;043_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/043.mp3
44;الدّخان;ad-Dukhan;ad-dukhaan;The Evident Smoke;044_Surat_Aldokhan.mp3;044.mp3;044_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/044.mp3
45;الجاثية;al-Jathiyah;al-jaathiyah;The Kneeling;045_Surat_Algathya.mp3;045.mp3;045_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/045.mp3
46;الأحقاف;al-Ahqaf;al-aHqaaf;The Sandhills;046_Surat_Ala7qaf.mp3;046.mp3;046_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/046.mp3
47;محمد;Muhammad;muHammad;Muhammad;047_Surat_Mohammad.mp3;047.mp3;047_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/047.mp3
48;الفتح;al-Fath;al-fatH;The Victory;048_Surat_Alfat7.mp3;048.mp3;048_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/048.mp3
49;الحجرات;al-Hujurat;al-Hujuraat;The Chambers;049_Surat_Al7ogorat.mp3;049.mp3;049_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/049.mp3
50;ق;Qaf;qaaf;Qaf;050_Surat_Qaaf.mp3;050.mp3;050_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/050.mp3
51;الذاريات;ad-Dhariyat;ad-dhaariyaat;The Scatterers;051_Surat_Alzariat.mp3;051.mp3;051_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/051.mp3
52;الطور;at-Tur;aT-Toor;The Mountain;052_Surat_Altoor.mp3;052.mp3;052_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/052.mp3
53;النجم;an-Najm;an-najm;The Star;053_Surat_Alnajm.mp3;053.mp3;053_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/053.mp3
54;القمر;al-Qamar;al-qamar;The Moon;054_Surat_Alqamar.mp3;054.mp3;054_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/054.mp3
55;الرحمن;ar-Rahman;ar-raHmaan;The Merciful;055_Surat_Alra7man.mp3;055.mp3;055_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/055.mp3
56;الواقعة;al-Waqi`ah;al-waaqi`ah;That Which is Coming;056_Surat_Alwaqe3h.mp3;056.mp3;056_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/056.mp3
57;الحديد;al-Hadid;al-Hadeed;The Iron;057_Surat_Alhadeed.mp3;057.mp3;057_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/057.mp3
58;المجادلة;al-Mujadilah;al-mujaadilah;She Who Pleaded;058_Surat_Almojadlh.mp3;058.mp3;058_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/058.mp3
59;الحشر;al-Hashr;al-Hashr;The Exile;059_Surat_Al7ashr.mp3;059.mp3;059_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/059.mp3
60;الممتحنة;al-Mumtahanah;al-mumtaHanah;She Who is Tested;060_Surat_Almomt7nh.mp3;060.mp3;060_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/060.mp3
61;الصف;as-Saff;as-saff;The Ranks;061_Surat_Alsff.mp3;061.mp3;061_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/061.mp3
62;الجمعة;al-Jumu`ah;al-jumu`ah;The Day of Congregation;062_Surat_Aljomo3h.mp3;062.mp3;062_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/062.mp3
63;المنافقون;al-Munafiqun;al-munafiqoon;The Hypocrites;063_Surat_Almonafeqon.mp3;063.mp3;063_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/063.mp3
64;التغابن;at-Taghabun;at-taghaabun;The Cheating;064_Surat_Altghabon.mp3;064.mp3;064_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/064.mp3
65;الطلاق;at-Talaq,;aT-Talaaq;The Divorce;065_Surat_Altlaq.mp3;065.mp3;065_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/065.mp3
66;التحريم;at-Tahrim;at-taHreem;The Prohibition;066_Surat_Alt7reem.mp3;066.mp3;066_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/066.mp3
67;الملك;al-Mulk;al-mulk;The Kingdom;067_Surat_Almolk.mp3;067.mp3;067_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/067.mp3
68;القلم;al-Qalam;al-qalam;The Pen;068_Surat_Alqalm.mp3;068.mp3;068_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/068.mp3
69;الحاقة;al-Haqqah;al-Haaqqah;The Inevitable;069_Surat_Al7aqqh.mp3;069.mp3;069_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/069.mp3
70;المعارج;al-Ma`arij;al-ma`aarij;The Ladders;070_Surat_Alm3arej.mp3;070.mp3;070_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/070.mp3
71;نوح;Nuh;nooH;Noah;071_Surat_Noo7.mp3;071.mp3;071_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/071.mp3
72;الجن;al-Jinn;al-jinn;The Jinn;072_Surat_Aljenn.mp3;072.mp3;072_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/072.mp3
73;المزّمّل;al-Muzammil;al-muzammil;The Mantled One;073_Surat_Almozzamel.mp3;073.mp3;073_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/073.mp3
74;المدّثر;al-Mudathir;al-muddaththir;The Clothed One;074_Surat_Almoddthr.mp3;074.mp3;074_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/074.mp3
75;القيامة;al-Qiyamah;al-qiyaamah;The Resurrection;075_Surat_Alqiamh.mp3;075.mp3;075_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/075.mp3
76;الإنسان;al-Insane;al-insane;The Man;076_Surat_Alensan.mp3;076.mp3;076_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/076.mp3
77;المرسلات;al-Mursalat;al-mursalaat;The Emissaries;077_Surat_Almorslat.mp3;077.mp3;077_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/077.mp3
78;النبأ;an-Naba';an-naba';The Tidings;078_Surat_Alnabaa.mp3;078.mp3;078_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/078.mp3
79;النازعات;an-Nazi`at;an-naazi`aat;Those Who Pull Out;079_Surat_Alnaz3at.mp3;079.mp3;079_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/079.mp3
80;عبس;`Abasa;`abasa;He Frowned;080_Surat_3abas.mp3;080.mp3;080_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/080.mp3
81;التكوير;at-Takwir;at-takweer;The Cessation;081_Surat_Altakweer.mp3;081.mp3;081_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/081.mp3
82;الإنفطار;al-Infitar;al-infiTaar;The Cleaving Asunder;082_Surat_Alnfetar.mp3;082.mp3;082_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/082.mp3
83;المطفّفين;Al-Mutaffifeen;Al-Mutaffifeen;The Defrauders;083_Surat_Almotffefen.mp3;083.mp3;083_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/083.mp3
84;الإنشقاق;al-Inshiqaq;al-inshiqaaq;The Rending;084_Surat_Alenshqaq.mp3;084.mp3;084_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/084.mp3
85;البروج;al-Buruj;al-burooj;the Constellations;085_Surat_Albrooj.mp3;085.mp3;085_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/085.mp3
86;الطارق;at-Tariq;aT-Taariq;The Night-Comer;086_Surat_Altareq.mp3;086.mp3;086_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/086.mp3
87;الأعلى;al-A`la;al-A`laa;The Most High;087_Surat_Ala3la.mp3;087.mp3;087_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/087.mp3
88;الغاشية;al-Ghashiya;al-ghaashiyah;The Overwhelming Calamity;088_Surat_Alghashih.mp3;088.mp3;088_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/088.mp3
89;الفجر;al-Fajr;al-fajr;The Dawn;089_Surat_Alfajr.mp3;089.mp3;089_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/089.mp3
90;البلد;al-Balad;al-balad;The City;090_Surat_Albalad.mp3;090.mp3;090_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/090.mp3
91;الشمس;ash-Shams;ash-shams;The Sun;091_Surat_Alshams.mp3;091.mp3;091_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/091.mp3
92;الليل;al-Layl;al-lail;The Night;092_Surat_Allayl.mp3;092.mp3;092_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/092.mp3
93;الضحى;ad-Duha;aD-DuHaa;The Early Hours;093_Surat_Ado7a.mp3;093.mp3;093_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/093.mp3
94;الشرح;ash-Sharh;ash-Sharh;The Expansion;094_Surat_Alshr7.mp3;094.mp3;094_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/094.mp3
95;التين;at-Tin;aT-Teen;The Fig;095_Surat_Alteen.mp3;095.mp3;095_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/095.mp3
96;العلق;al-`Alaq;al-`alaq;The Clot;096_Surat_Aqraa.mp3;096.mp3;096_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/096.mp3
97;القدر;al-qadr;al-qadr;The Majesty;097_Surat_Alqadr.mp3;097.mp3;097_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/097.mp3
98;البينة;al-Bayyinah;al-bayyinah;The Proof;098_Surat_Albayenh.mp3;098.mp3;098_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/098.mp3
99;الزلزلة;Az-Zalzala;Az-Zalzala;The Shaking;099_Surat_Alzalzlh.mp3;099.mp3;099_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/099.mp3
100;العاديات;al-`Adiyat;al-`aadiyaat;The Assaulters;100_Surat_Al3adiat.mp3;100.mp3;100_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/100.mp3
101;القارعة;al-Qari`ah;al-qaari`ah;The Terrible Calamity;101_Surat_Alqare3h.mp3;101.mp3;101_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/101.mp3
102;التكاثر;at-Takathur;at-takaathur;Worldly Gain;102_Surat_Altkathor.mp3;102.mp3;102_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/102.mp3
103;العصر;al-`Asr;al-`asr;Time;103_Surat_Al3sr.mp3;103.mp3;103_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/103.mp3
104;الهمزة;al-Humazah;al-humazah;The Slanderer;104_Surat_Alhomaza.mp3;104.mp3;104_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/104.mp3
105;الفيل;al-Fil;al-feel;The Elephant;105_Surat_Alfeel.mp3;105.mp3;105_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/105.mp3
106;قريش;al-Quraish;al-quraish;The Quraish;106_Surat_Qoraish.mp3;106.mp3;106_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/106.mp3
107;الماعون;al-Ma`un;al-maa`oon;The Daily Necessaries;107_Surat_Alma3oon.mp3;107.mp3;107_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/107.mp3
108;الكوثر;al-Kauthar;al-kauthar;Abundance;108_Surat_Alkawthar.mp3;108.mp3;108_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/108.mp3
109;الكافرون;al-Kafirun;al-kaafiroon;The Unbelievers;109_Surat_Alkafroon.mp3;109.mp3;109_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/109.mp3
110;النصر;an-Nasr;an-naSr;The Help;110_Surat_Alnasr.mp3;110.mp3;110_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/110.mp3
111;المسد;Al-Masad;Al-Masad;The Palm Fibre;111_Surat_Almasad.mp3;111.mp3;111_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/111.mp3
112;الإخلاص;al-Ikhlas;al-ikhlaaS;The Unity;112_Surat_Alekhlas.mp3;112.mp3;112_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/112.mp3
113;الفلق;al-Falaq;al-falaq;The Daybreak;113_Surat_Alfalaq.mp3;113.mp3;113_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/113.mp3
114;النّاس;an-Nas;an-naas;The Men;114_Surat_Alnas.mp3;114.mp3;114_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/114.mp3
